strategy,bandit,align_mode,seed,stage,farm,CARE,coverage,earliness,reliability,accuracy,recon_loss,threshold
joint,off,adapter,0,C,A,0.6190195555467788,0.3008448047701176,0.08324579357040988,0.7746478873239436,0.9681796460347115,1.3213063212337028,2.5331639647483826
joint,off,adapter,0,C,B,0.5512044422603696,0.13711927965515855,0.03172290509463486,0.6666666666666666,0.9602566799426939,11.788235370900559,1.7656885385513306
joint,off,adapter,0,C,C,0.63777655046097,0.3367897366069802,0.22017360619498996,0.7741935483870968,0.9288629305578914,355.37706726864815,0.6199149340391159
joint,off,adapter,1,C,A,0.6176176122340973,0.2927571666597734,0.08181479996653686,0.7746478873239436,0.9694341036101162,1.5816852767282041,3.251009941101074
joint,off,adapter,1,C,B,0.5347053054623326,0.15380769090229165,0.037016691850925446,0.5882352941176471,0.9472334252203994,10.701677854997598,1.8422719538211818
joint,off,adapter,1,C,C,0.6287971714048731,0.31026429399104133,0.20219125777083516,0.7741935483870968,0.9286683784376961,356.5026391409388,0.6120903849601743
joint,off,adapter,2,C,A,0.6217767955509561,0.30750407647020805,0.09174971194133291,0.7746478873239436,0.9674911510096481,1.674429047507202,3.004600167274475
joint,off,adapter,2,C,B,0.5553574768615857,0.17494788029195718,0.04291022835999378,0.6666666666666666,0.9461313044946554,11.458885995369936,1.8697454631328572
joint,off,adapter,2,C,C,0.6321134085570306,0.31707852113722435,0.20629804557477377,0.7741935483870968,0.9314984638430291,358.10661467072595,0.6321924686431882
ewc,off,adapter,0,A,A,0.6185773451151925,0.30998361723515816,0.08424268184372334,0.7746478873239436,0.9620062695865687,0.042197040473729325,0.055514611303806305
ewc,off,adapter,0,B,A,0.6218964730174741,0.34344043740818525,0.10480413551146617,0.7333333333333333,0.9639522294171928,0.9274684821403913,1.6986939311027527
ewc,off,adapter,0,B,B,0.56633863365271,0.21225420751235927,0.050239228702835696,0.6666666666666666,0.9512665326908442,6.670139395016536,0.2542274087667464
ewc,off,adapter,0,C,A,0.6298624362114698,0.3567116001051753,0.11953045688028241,0.7333333333333333,0.9698683953692789,1.1896904514772777,2.332031488418579
ewc,off,adapter,0,C,B,0.5325273588419501,0.15053696523637328,0.03372549055898683,0.5882352941176471,0.9450695221483715,8.961581728762768,1.2062666714191423
ewc,off,adapter,0,C,C,0.6270112811647608,0.3068701918428997,0.20068733414772943,0.7741935483870968,0.9266526657230391,355.5971105852024,0.6071340650320052
ewc,off,adapter,1,A,A,0.6211564453216812,0.31684036013109546,0.08698663862362124,0.7746478873239436,0.9636536702648729,0.039851668224967565,0.05124171823263168
ewc,off,adapter,1,B,A,0.6180083120995542,0.33369606568916055,0.09926053956839258,0.7333333333333333,0.9618758109534422,0.7935976484483086,1.3555713295936584
ewc,off,adapter,1,B,B,0.5713715145292126,0.2183129355542344,0.05295584277340287,0.6666666666666666,0.9594610638258797,7.309293643884987,0.24359887838363647
ewc,off,adapter,1,C,A,0.6262326018316194,0.33710143748652277,0.10278044090182804,0.7746478873239436,0.9583166217229014,1.276105100425278,2.1452290415763855
ewc,off,adapter,1,C,B,0.5619569994544188,0.17191610734362997,0.03968818775269819,0.7352941176470589,0.9314432922643534,8.336945644789791,1.0013214051723478
ewc,off,adapter,1,C,C,0.6280129184346619,0.310802520060692,0.20256231571663574,0.7741935483870968,0.9262531040044426,356.4871287284671,0.6191257208585738
ewc,off,adapter,2,A,A,0.6217484484026293,0.3162385822011325,0.08559533982175777,0.7746478873239436,0.9661302163331563,0.04216667383981739,0.050120466388762
ewc,off,adapter,2,B,A,0.6231068607518723,0.3268633754201937,0.09827359654667246,0.7746478873239436,0.9578747222342758,0.7802011641029097,1.3388094007968903
ewc,off,adapter,2,B,B,0.5699516426730545,0.2185086235529896,0.05264618451521433,0.6666666666666666,0.955968369315201,7.9869636591701605,0.24767873436212523
ewc,off,adapter,2,C,A,0.6457744321776238,0.35674864733573575,0.11581173649904662,0.8208955223880597,0.9677081273326383,1.0986072010822803,1.9849782586097717
ewc,off,adapter,2,C,B,0.5589107641312252,0.2106211074673271,0.05311120143836933,0.6666666666666666,0.9320774225418815,8.875301504997195,1.0140632331371306
ewc,off,adapter,2,C,C,0.6297704938142468,0.3150366160809388,0.20505574178775526,0.7741935483870968,0.9272832814077214,358.96253207830114,0.6029051989316936
replay,off,adapter,0,A,A,0.6185773451151925,0.30998361723515816,0.08424268184372334,0.7746478873239436,0.9620062695865687,0.042197040473729325,0.055514611303806305
replay,off,adapter,0,B,A,0.6231325530948921,0.3199931522502849,0.08914892947529014,0.7746478873239436,0.965936398212471,0.051999254323130135,0.0517392847687006
replay,off,adapter,0,B,B,0.5697284974458385,0.2185377952398914,0.05311188529687108,0.6666666666666666,0.9551630700128817,7.177287544988923,0.24381709098815907
replay,off,adapter,0,C,A,0.6222886029500921,0.3173688822618228,0.08787150772220667,0.7746478873239436,0.965777368721244,0.050070291458866774,0.05402699112892151
replay,off,adapter,0,C,B,0.570388061459607,0.21599441472311187,0.05190465231805694,0.6666666666666666,0.9586872867950998,8.08797666983003,0.25993813276290884
replay,off,adapter,0,C,C,0.6292204008312023,0.3127208657755393,0.205074239815303,0.7741935483870968,0.9270566750890363,359.85188439464423,0.6000605911016462
replay,off,adapter,1,A,A,0.6211564453216812,0.31684036013109546,0.08698663862362124,0.7746478873239436,0.9636536702648729,0.039851668224967565,0.05124171823263168
replay,off,adapter,1,B,A,0.6243298180924406,0.3272086949924191,0.09192780384963073,0.7746478873239436,0.9639323521481049,0.044849926407644757,0.05013865791261196
replay,off,adapter,1,B,B,0.5683400493541164,0.2105810771888971,0.05012052764104202,0.6666666666666666,0.9571659876369881,6.402823034159803,0.24339519292116155
replay,off,adapter,1,C,A,0.6257182995650801,0.3320080944732879,0.09383003198651237,0.7746478873239436,0.9640527420208282,0.048152676344144045,0.05446529295295477
replay,off,adapter,1,C,B,0.5691282948561724,0.21569590414893533,0.05054661115543321,0.6666666666666666,0.9563661461549136,6.691571260226929,0.2590420171618461
replay,off,adapter,1,C,C,0.6296278975677951,0.3118795958625314,0.2065834381843731,0.7741935483870968,0.9277414527024873,357.00520026299495,0.5904020816087722
replay,off,adapter,2,A,A,0.6217484484026293,0.3162385822011325,0.08559533982175777,0.7746478873239436,0.9661302163331563,0.04216667383981739,0.050120466388762
replay,off,adapter,2,B,A,0.6251034182642712,0.3287638248741977,0.09424621451232502,0.7746478873239436,0.9639295823054449,0.04506019582758311,0.05536764767020941
replay,off,adapter,2,B,B,0.571692638466813,0.2246573239891667,0.05447581809211636,0.6666666666666666,0.9563316917930573,7.309035021675038,0.24807169809937468
replay,off,adapter,2,C,A,0.6155526479179556,0.32756396997474035,0.09326574742563389,0.7333333333333333,0.9618000944280355,0.049763583225002406,0.06148935481905937
replay,off,adapter,2,C,B,0.5690818877947443,0.21623498577503616,0.05148207875639382,0.6666666666666666,0.9555128538878124,8.147574918702515,0.25827968716621397
replay,off,adapter,2,C,C,0.6294475602351299,0.29465617829122204,0.18644336613204007,0.7741935483870968,0.9459723541826454,358.08076659580104,0.5991271376609795
distill,off,adapter,0,A,A,0.6185773451151925,0.30998361723515816,0.08424268184372334,0.7746478873239436,0.9620062695865687,0.042197040473729325,0.055514611303806305
distill,off,adapter,0,B,A,0.6278065639005556,0.3377148225279202,0.09925986320379888,0.7746478873239436,0.9637051232235575,1.3362900854291544,2.329286813735962
distill,off,adapter,0,B,B,0.5629262685605457,0.19158725941950483,0.044168147036241834,0.6666666666666666,0.9561046348401577,7.332327070897892,0.4179687201976776
distill,off,adapter,0,C,A,0.6200179433516108,0.2717355575388956,0.0713524313684413,0.8208955223880597,0.9680531027313286,1.314124295448844,2.683363914489746
distill,off,adapter,0,C,B,0.5493554200331021,0.158289890145935,0.03750058648354215,0.6578947368421053,0.9465459433469642,10.791772285358983,2.0656955838203417
distill,off,adapter,0,C,C,0.6250250251933043,0.3270375135315385,0.21276920232758545,0.7361963190184049,0.9245610455444961,356.0952402879913,0.7429273277521132
distill,off,adapter,1,A,A,0.6211564453216812,0.31684036013109546,0.08698663862362124,0.7746478873239436,0.9636536702648729,0.039851668224967565,0.05124171823263168
distill,off,adapter,1,B,A,0.626397046648436,0.34598819068588993,0.12275528696210905,0.7333333333333333,0.9649542111304239,1.1635543866840892,2.343961775302887
distill,off,adapter,1,B,B,0.5619037647682463,0.1873865851091531,0.043766749303752565,0.6666666666666666,0.9558494113808295,8.55675705009016,0.42449361085891724
distill,off,adapter,1,C,A,0.6174837812064398,0.2933002452053312,0.08080945731564367,0.7746478873239436,0.9693306580936402,1.2394998624536295,2.307394564151764
distill,off,adapter,1,C,B,0.53750950298389,0.16414236872792545,0.038978771247657994,0.5882352941176471,0.9480955404131097,11.575709825885793,1.954912900924682
distill,off,adapter,1,C,C,0.6264185325375198,0.3175983066783689,0.2055797076037799,0.7547169811320755,0.9270988336366872,357.3450594903063,0.7540246367454524
distill,off,adapter,2,A,A,0.6217484484026293,0.3162385822011325,0.08559533982175777,0.7746478873239436,0.9661302163331563,0.04216667383981739,0.050120466388762
distill,off,adapter,2,B,A,0.6219478769739244,0.3487398603950095,0.10866154351033916,0.7333333333333333,0.95950232381547,1.1499987158815632,2.0123443603515625
distill,off,adapter,2,B,B,0.5621254930386635,0.1885852452637775,0.04440055836670966,0.6666666666666666,0.9554874974480819,7.425135702052318,0.422056695818901
distill,off,adapter,2,C,A,0.6213615636329356,0.27312964287206615,0.07069145990206901,0.8208955223880597,0.9710455965012418,1.3911138807959444,2.6730566024780273
distill,off,adapter,2,C,B,0.5252645694955962,0.16324263232948102,0.03931341650227321,0.5434782608695652,0.9401442688883308,10.430286493829307,2.0366346716880797
distill,off,adapter,2,C,C,0.6235442247385323,0.3181127526951136,0.1886667654155497,0.7547169811320755,0.9281123122249614,356.0070706708365,0.774749919772148
replay_distill,off,adapter,0,A,A,0.6185773451151925,0.30998361723515816,0.08424268184372334,0.7746478873239436,0.9620062695865687,0.042197040473729325,0.055514611303806305
replay_distill,off,adapter,0,B,A,0.6240612402975151,0.324503846420361,0.08980871901012372,0.7746478873239436,0.9656728743665736,0.04481615508468371,0.05115484446287155
replay_distill,off,adapter,0,B,B,0.5625539308543318,0.19371625648012025,0.04575039944900856,0.6666666666666666,0.9533181658379317,7.9365836076473055,0.4382762253284451
replay_distill,off,adapter,0,C,A,0.6236995443228424,0.3226469970272417,0.0895444302548475,0.7746478873239436,0.9658292035040895,0.04666311626820536,0.05325031466782093
replay_distill,off,adapter,0,C,B,0.5681481676357786,0.20941984451023013,0.050014351454915874,0.6666666666666666,0.95731998777354,7.518516628641676,0.27526002973318087
replay_distill,off,adapter,0,C,C,0.6278701104205855,0.32004667469210096,0.20827271812659795,0.7547169811320755,0.9281570890760766,356.2686700948575,0.7239442497491834
replay_distill,off,adapter,1,A,A,0.6211564453216812,0.31684036013109546,0.08698663862362124,0.7746478873239436,0.9636536702648729,0.039851668224967565,0.05124171823263168
replay_distill,off,adapter,1,B,A,0.6252076245763372,0.3301260511841026,0.0929074764308932,0.7746478873239436,0.9641783539713732,0.041407931373635916,0.04946981742978096
replay_distill,off,adapter,1,B,B,0.5617254446005433,0.18548537155543932,0.04330139360070359,0.6666666666666666,0.9565868955899534,7.986411387349858,0.43445690274238535
replay_distill,off,adapter,1,C,A,0.624335893091895,0.3288474279707857,0.09173641347143507,0.7746478873239436,0.9632238683466553,0.04461830783955705,0.0517077324911952
replay_distill,off,adapter,1,C,B,0.567263365458252,0.20607747040931476,0.04832524979857932,0.6666666666666666,0.9576237202083493,7.924476078258479,0.2732421487569808
replay_distill,off,adapter,1,C,C,0.6301683399691415,0.32961940647199456,0.2107131048680143,0.7547169811320755,0.9278961036868115,356.5895564738387,0.7283743113279343
replay_distill,off,adapter,2,A,A,0.6217484484026293,0.3162385822011325,0.08559533982175777,0.7746478873239436,0.9661302163331563,0.04216667383981739,0.050120466388762
replay_distill,off,adapter,2,B,A,0.6245649134439295,0.32596894692530237,0.09252749584154984,0.7746478873239436,0.9648401185644258,0.04092554458198084,0.05069062113761902
replay_distill,off,adapter,2,B,B,0.5630023421003078,0.19461409484872375,0.04626672123940401,0.6666666666666666,0.9537321138733721,8.181563078515975,0.4299074113368987
replay_distill,off,adapter,2,C,A,0.6244781140384703,0.3250947656155384,0.09159649850767222,0.7746478873239436,0.9655257093725986,0.04459879988663572,0.05337515380233526
replay_distill,off,adapter,2,C,B,0.568110156330575,0.21213503434260603,0.05108255115300317,0.6666666666666666,0.9553332647452996,7.38838018877133,0.2719164788722992
replay_distill,off,adapter,2,C,C,0.6288064800105675,0.32278979406139646,0.20910093299527743,0.7547169811320755,0.928712345932044,355.8420431255549,0.7300736129283902
