strategy,bandit,align_mode,seed_mean,seed_std,final_avg_care_mean,final_avg_care_std,mean_forgetting_mean,mean_forgetting_std,backward_transfer_mean,backward_transfer_std,forgetting_A_mean,forgetting_A_std
distill,off,adapter,1.0,1.0,0.5939978403525479,0.004041495226304693,0.012907497417230704,0.006354650371684708,-0.012907497417230704,0.006354650371684708,0.0008729835495056385,0.0025910580825265683
ewc,off,adapter,1.0,1.0,0.6044510317846641,0.007554020069887966,0.0023132395076955192,0.008878698816920518,-0.0023132395076955192,0.008878698816920518,-0.013462410460403307,0.009660720886865313
joint,off,adapter,1.0,1.0,0.599818702037666,0.005297231718167473,0.0,0.0,0.0,0.0,,
naive,off,adapter,1.0,1.0,0.599818702037666,0.005297231718167473,0.012307399563654156,0.006489793273912405,-0.012307399563654156,0.006489793273912405,0.001022758502556953,0.0021887882931822594
replay,off,adapter,1.0,1.0,0.6067170725753087,0.0018038989109561672,-0.00015239507289677157,0.003952915112554782,0.00015239507289677157,0.003952915112554782,-0.0006924371978749289,0.005980530272559474
replay_distill,off,adapter,1.0,1.0,0.6069866856975675,0.00036394661488496735,-0.0045452140805212204,0.0007376444182263387,0.0045452140805212204,0.0007376444182263387,-0.003677104204568201,0.0012715347687141624
