strategy,bandit,align_mode,seed,stage,farm,CARE,coverage,earliness,reliability,accuracy,recon_loss,threshold
replay_distill,off,shared_only,1,B,B,0.5124119368703832,0.188693642960172,0.0459185213779074,0.5,0.9137237600069184,0.001364518330425,0.0040976982563734
replay_distill,off,shared_only,1,C,A,0.5799333385121789,0.1829970433135488,0.0433205837322223,0.746268656716418,0.9635402043993524,0.000276435687644,0.0005866218707524
replay_distill,off,shared_only,1,C,B,0.5149750741085399,0.1622346022250991,0.040057419133531,0.5172413793103449,0.9276709849368624,0.0006331142337311,0.0011930719891097
replay_distill,off,shared_only,1,C,C,0.5802713479720187,0.0740045299703125,0.0745548991035039,0.8041958041958042,0.9743007532952368,0.0376519327217862,0.0442938506603241
replay_distill,off,shared_only,2,A,A,0.6172287426944782,0.3231563497643457,0.0915818680004829,0.746268656716418,0.9625684194955724,6.243354337925642e-05,4.5287430839380186e-05
replay_distill,off,shared_only,2,B,A,0.6070180337418611,0.2436928273357543,0.0672389780769687,0.7936507936507936,0.9652537848228946,7.918332366038764e-05,0.0001149527088273
replay_distill,off,shared_only,2,B,B,0.5284645177350447,0.234190295261081,0.0570342509359809,0.5,0.9255490212390806,0.0021732312184817,0.0060132981510832
replay_distill,off,shared_only,2,C,A,0.608826880335131,0.2726216383535217,0.0864201031579443,0.746268656716418,0.9694120017238856,0.0002986733922102,0.0004713293164968
replay_distill,off,shared_only,2,C,B,0.5480775840631793,0.2311280956438165,0.0641069063392885,0.5952380952380952,0.924957411547348,0.0005044953710296,0.0007695316540775
replay_distill,off,shared_only,2,C,C,0.5836814351219355,0.0880336596821892,0.0783415409662775,0.8041958041958042,0.9739180853827032,0.0283381600923819,0.013878303579986
