strategy,bandit,align_mode,seed_mean,seed_std,final_avg_care_mean,final_avg_care_std,mean_forgetting_mean,mean_forgetting_std,backward_transfer_mean,backward_transfer_std,forgetting_A_mean,forgetting_A_std
distill,off,shared_only,1.0,1.0,0.5545586071998203,0.002657729268532212,0.0381904347090704,0.0123833413877247,-0.0381904347090704,0.0123833413877247,0.06023048888058117,0.013172557380608525
ewc,off,shared_only,1.0,1.0,0.5533259214558196,0.0076286862905930826,0.04126106468433454,0.022580226230855312,-0.04126106468433454,0.022580226230855312,0.05565675708828893,0.02555949268454176
joint,off,shared_only,1.0,1.0,0.5764616251914596,0.0033456380794886676,0.0,0.0,0.0,0.0,,
naive,off,shared_only,1.0,1.0,0.5614888413461275,0.025006999092121295,0.03229544740823093,0.032556997773580426,-0.03229544740823093,0.032556997773580426,0.05292126859191006,0.032071801476781917
replay,off,shared_only,1.0,1.0,0.5706685242847244,0.011826456218644317,0.013346076792340332,0.006846052730388553,-0.013346076792340332,0.006846052730388553,0.046575989785107,0.015593767141066073
replay_distill,off,shared_only,1.0,1.0,0.5751146577617584,0.0148479902153621,0.005576969301459234,0.014649916258465474,-0.005576969301459234,0.014649916258465474,0.019613842933562466,0.023741018166676564
